customer_id,name,email,signup_date,source,region,plan_selected,marketing_opt_in,age,gender,age_group,ticket_id,ticket_date,issue_type,resolved,days_since_signup
CUST00005,John Gonzales,john5@mailhub.org,2024-01-06,Facebook,South,Premium,No,34,Other,31-40,TKT0008-1,2024-06-04,Other,Yes,150
CUST00007,Michael Bailey,michael7@mailhub.org,2024-01-08,YouTube,Central,Pro,Yes,60,Other,51-60,TKT0036-1,2024-08-07,Billing,Yes,212
CUST00007,Michael Bailey,michael7@mailhub.org,2024-01-08,YouTube,Central,Pro,Yes,60,Other,51-60,TKT0036-2,2024-08-23,Other,Yes,228
CUST00009,Cindy Anderson,,2024-01-10,Google,East,Premium,No,29,female,21-30,TKT0003-1,2024-10-03,Technical Error,No,267
CUST00017,Patty Paul,patty17@inboxmail.net,2024-01-18,YouTube,East,Pro,No,53,Non-Binary,51-60,TKT0030-1,2024-02-03,Other,Yes,16
CUST00017,Patty Paul,patty17@inboxmail.net,2024-01-18,YouTube,East,Pro,No,53,Non-Binary,51-60,TKT0030-2,2024-02-09,Other,Yes,22
CUST00024,Mitchell Kerr,mitchell24@mailhub.org,2024-01-25,,North,Pro,No,21,Female,21-30,TKT0033-1,2024-02-21,Technical Error,Yes,27
CUST00024,Mitchell Kerr,mitchell24@mailhub.org,2024-01-25,,North,Pro,No,21,Female,21-30,TKT0033-2,2024-02-08,Other,Yes,14
CUST00024,Mitchell Kerr,mitchell24@mailhub.org,2024-01-25,,North,Pro,No,21,Female,21-30,TKT0033-3,2024-02-05,Login Issue,Yes,11
CUST00025,Latoya Marks,latoya25@inboxmail.net,2024-01-26,Referral,South,Premium,No,40,Non-Binary,31-40,TKT0059-1,2024-02-24,Account Setup,Yes,29
CUST00033,Jodi Curry,jodi33mailhub.org,2024-02-03,YouTube,East,Basic,Yes,,Male,,TKT0032-1,2024-03-10,Account Setup,Yes,36
CUST00042,Antonio Wilson Jr.,antonio42@example.com,2024-02-12,Instagram,North,,No,34,Male,31-40,TKT0025-1,2024-12-04,Login Issue,Yes,296
CUST00042,Antonio Wilson Jr.,antonio42@example.com,2024-02-12,Instagram,North,,No,34,Male,31-40,TKT0025-2,2024-12-30,Billing,Yes,322
CUST00045,Tyler Ortiz,,2024-02-15,LinkedIn,West,Pro,No,25,Male,21-30,TKT0013-1,2024-02-29,Account Setup,Yes,14
CUST00045,Tyler Ortiz,,2024-02-15,LinkedIn,West,Pro,No,25,Male,21-30,TKT0013-2,2024-03-05,Other,No,19
CUST00046,Luke Crane,luke46@inboxmail.net,2024-02-16,Facebook,North,Pro,Yes,60,female,51-60,TKT0038-1,2024-02-22,Other,Yes,6
